index,SPACER_cex_depth,SPACER_cluster_out_of_gas,SPACER_conj,SPACER_conj_failed,SPACER_conj_success,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_depth,SPACER_max_query_lvl,SPACER_non_local_gen,SPACER_num_active_lemmas,SPACER_num_cant_abstract,SPACER_num_ctp_blocked,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_reach_queries,SPACER_pob_out_of_gas,SPACER_queries,SPACER_reuse_reach_facts,SPACER_subsume_failed,SPACER_subsume_pob,SPACER_subsume_success,max_memory,memory,status,time,time_iuc_solver_get_iuc,time_iuc_solver_get_iuc_hyp_reduce1,time_iuc_solver_get_iuc_hyp_reduce2,time_iuc_solver_get_iuc_learn_core,time_pool_solver_proof,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_cluster,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_gen_global,time_spacer_solve_reach_is_reach
array-VexRiscv-regch0-15-p0.smt2,,,,,,,,6,6,,105,,5,36,77,1,118,112,16,,,116,,,,,78.36,63.50,unknown,39.63,0.13,0.01,0.03,0.01,0.07,36.33,34.71,,0.00,0.13,0.13,2.24,39.48,2.18,37.29,2.54,0.10,27.43,,
array-VexRiscv-regch0-15-p1.smt2,,,,,,,,10,10,,135,,8,74,239,7,156,148,143,,,153,,,,,91.75,76.88,unknown,71.57,0.21,0.01,0.06,0.01,0.10,57.96,53.46,1.27,0.02,0.13,0.13,11.82,71.42,4.82,66.58,12.38,0.22,41.30,,
array-VexRiscv-regch0-20-p0.smt2,,,,,,,,7,7,,170,,8,92,32,,182,176,8,,,180,,,,,113.80,92.60,unknown,94.20,0.23,0.01,0.06,0.01,0.12,79.20,74.91,,,0.14,0.14,13.03,94.03,0.30,93.71,13.68,0.32,65.14,,
array-arbitrated_fifos_n2d8w8.smt2,,17,2,12,,,,19,18,,772,1,30,16,4654,10,1083,1088,1744,102,1,1077,102,147,100,101,427.77,361.92,timeout,899.96,17.37,1.11,9.80,0.63,5.51,695.55,1.67,570.11,0.00,0.01,0.00,31.24,803.40,216.44,586.89,28.95,11.47,399.17,5.26,1.51
array-array_swap.smt2,,,,,,,,2,1,,2,,,,2,,3,2,,,,1,,,,,9.09,9.09,unknown,0.02,,,,,,0.00,,0.00,,0.00,,,0.01,0.00,0.00,,,,,
array-dblclockfft_butterfly_ck1-p006.smt2,,,,,,,,4,3,,246,,2,126,493,5,256,251,324,,,252,,,,,2251.70,1338.57,timeout,899.96,1.16,0.03,0.28,0.06,0.61,413.43,155.83,,0.04,0.96,0.95,3.78,424.26,16.46,407.79,6.89,0.42,343.99,,
array-dblclockfft_butterfly_ck1-p015.smt2,,,,,,,,9,8,,211,,160,98,782,2,224,219,458,,,220,,,,,936.18,432.48,timeout,899.96,0.47,0.01,0.06,0.01,0.31,122.71,114.09,,0.07,0.96,0.95,1.49,129.57,14.22,115.32,4.03,0.28,77.53,,
array-dblclockfft_butterfly_ck1-p023.smt2,,,,,,,,8,7,,459,,173,278,927,13,471,466,521,,,467,,,,,940.09,493.27,timeout,899.96,1.99,0.05,0.40,0.06,1.25,355.95,326.67,,0.22,0.98,0.97,3.75,373.96,22.07,351.88,9.72,1.66,256.54,,
array-dblclockfft_butterfly_ck1-p053.smt2,,,,,,,,4,3,,118,,34,9,458,,121,118,313,,,118,,,,,936.18,459.49,timeout,899.95,0.08,0.00,0.01,0.01,0.03,26.49,23.37,,0.00,0.95,0.94,0.72,29.68,9.16,20.51,2.02,0.07,1.70,,
array-dblclockfft_butterfly_ck1-p060.smt2,,,,,,,10,10,10,,146,,119,17,690,,151,148,438,,,148,,,,,936.18,126.03,unsat,37.87,0.10,0.00,0.01,0.01,0.04,31.39,26.58,,0.01,0.97,0.96,0.91,35.45,13.07,22.34,2.54,0.11,1.11,,
array-dblclockfft_butterfly_ck1-p063.smt2,,,,,,,,3,2,,13,,1,1,14,,16,13,,,,13,,,,,940.08,469.77,timeout,899.96,0.01,,,,0.01,9.27,8.82,,,0.95,0.94,0.08,9.60,3.35,6.24,0.20,0.00,0.10,,
array-dblclockfft_butterfly_ck1-p068.smt2,,,,,,,,3,2,,16,,1,1,18,,19,16,1,,,16,,,,,940.08,371.66,timeout,899.96,0.02,,0.00,,0.01,9.19,8.66,,,0.97,0.96,0.10,9.60,1.89,7.71,0.26,0.00,0.86,,
array-dblclockfft_butterfly_ck1-p072.smt2,,,,,,,,5,4,,651,,50,530,728,1,672,667,531,,,668,,,,,938.35,520.34,timeout,899.96,3.92,0.12,1.07,0.15,2.12,774.91,720.36,,0.16,0.96,0.95,7.12,805.86,30.66,775.19,16.62,3.56,555.04,,
array-dblclockfft_butterfly_ck1-p073.smt2,,,,,,,,3,2,,15,,1,1,18,,18,15,2,,,15,,,,,940.08,458.57,timeout,899.95,0.02,,0.00,,0.01,9.41,8.92,,,0.94,0.93,0.09,9.79,2.73,7.05,0.24,0.00,0.39,,
array-dblclockfft_butterfly_ck1-p078.smt2,,,,,,,,3,2,,11,,1,1,13,,14,11,1,,,11,,,,,940.08,427.28,timeout,899.96,0.01,,,,0.01,6.54,6.16,,,0.96,0.95,0.06,6.80,1.78,5.01,0.16,,0.19,,
array-dblclockfft_butterfly_ck1-p096.smt2,,,,,,,,3,2,,40,,1,,141,,43,40,99,,,40,,,,,940.09,466.63,timeout,899.96,0.03,,0.00,0.00,0.01,8.65,7.79,,,0.98,0.97,0.23,9.69,4.37,5.32,0.65,0.01,,,
array-dblclockfft_butterfly_ck1-p106.smt2,,,,,,,,6,5,,644,,94,487,934,20,663,655,543,,,657,,,,,938.35,510.04,timeout,899.96,3.56,0.11,0.97,0.13,1.93,723.33,675.01,,0.29,0.93,0.92,6.16,751.92,41.27,710.63,14.64,3.31,542.55,,
array-dblclockfft_butterfly_ck1-p117.smt2,,,,,,,,4,3,,714,,2,691,30,,720,715,,,,716,,,,,940.09,443.63,timeout,899.96,4.37,0.14,1.17,0.15,2.42,746.60,696.17,,0.01,0.97,0.96,7.27,779.45,4.97,774.47,17.80,4.51,597.90,,
array-dblclockfft_butterfly_ck1-p139.smt2,,,,,,,,4,3,,481,,10,284,918,25,494,489,627,,,490,,,,,936.18,502.92,timeout,899.96,2.11,0.06,0.47,0.07,1.27,377.41,346.45,,0.16,0.97,0.95,3.99,396.36,43.37,352.99,10.09,1.67,250.75,,
array-dblclockfft_butterfly_ck1-p147.smt2,,,,,,,,5,4,,686,,332,308,2830,18,717,710,1946,,,712,,,,,936.19,536.88,timeout,899.96,3.07,0.09,0.75,0.10,1.74,488.92,419.34,,1.06,0.98,0.97,10.27,525.45,87.45,437.99,19.86,3.56,282.55,,
array-dblclockfft_butterfly_ck1-p156.smt2,,,,,,,,4,3,,493,,1,334,875,10,504,499,637,,,500,,,,,936.18,573.11,timeout,899.96,1.93,0.04,0.43,0.07,1.08,466.81,431.02,,0.15,0.96,0.95,4.27,486.65,39.55,447.08,10.89,1.79,322.96,,
array-dblclockfft_butterfly_ck1-p167.smt2,,,,,,,,4,3,,357,,2,144,999,7,366,361,693,,,362,,,,,936.18,574.51,timeout,899.96,1.17,0.03,0.20,0.03,0.75,233.16,215.25,,0.10,0.96,0.94,2.82,246.08,28.55,217.53,7.12,0.82,157.41,,
array-dblclockfft_butterfly_ck1-p168.smt2,,,,,,,,5,4,,474,,49,326,750,17,488,483,481,,,484,,,,,936.18,484.64,timeout,899.96,1.92,0.04,0.46,0.07,1.06,452.08,419.12,,0.20,0.98,0.97,4.12,471.27,34.01,437.25,10.44,1.68,332.84,,
array-dblclockfft_butterfly_ck1-p191.smt2,,,,,,,,3,2,,34,,1,,49,,36,33,13,,,33,,,,,938.35,482.14,timeout,899.96,0.02,,0.00,0.00,0.01,9.31,8.62,,,0.95,0.94,0.19,10.16,4.38,5.77,0.54,0.01,0.85,,
array-dblclockfft_butterfly_ck1-p199.smt2,,,,,,,,5,4,,528,,78,304,1162,19,538,533,771,,,534,,,,,936.18,527.38,timeout,899.96,2.22,0.05,0.61,0.08,1.16,500.11,459.46,,0.25,0.96,0.95,4.64,522.58,51.43,471.14,11.77,2.14,340.78,,
array-dblclockfft_butterfly_ck1-p200.smt2,,,,,,,,3,2,,13,,1,1,14,,16,13,,,,13,,,,,940.08,426.15,timeout,899.97,0.01,,,,0.01,11.04,10.63,,,0.93,0.92,0.07,11.35,5.97,5.38,0.20,0.00,0.21,,
array-dblclockfft_butterfly_ck1-p212.smt2,,,,,,,,3,2,,4,,1,1,5,,7,4,,,,4,,,,,938.34,416.62,timeout,899.97,0.01,,,,0.01,3.11,2.92,,,0.94,0.94,0.01,3.16,2.34,0.81,0.02,,0.13,,
array-dblclockfft_butterfly_ck1-p214.smt2,,,,,,,,3,2,,18,,1,1,20,,21,18,1,,,18,,,,,938.35,420.42,timeout,899.96,0.02,,0.00,0.00,0.01,9.08,8.51,,,0.97,0.95,0.11,9.55,2.32,7.23,0.30,0.00,0.46,,
array-dblclockfft_butterfly_ck1-p222.smt2,,,1,1,,,,5,4,,682,,126,255,3101,22,717,711,2134,,,712,,,,,936.19,504.39,timeout,899.96,3.18,0.09,0.73,0.11,1.81,544.17,467.34,,1.28,0.96,0.95,10.31,584.52,147.20,437.31,20.12,3.89,283.81,0.01,0.02
array-dblclockfft_butterfly_ck1-p223.smt2,,,,,,,,3,2,,18,,1,1,23,,21,18,4,,,18,,,,,938.35,425.04,timeout,899.95,0.02,,0.00,0.00,0.01,10.82,10.22,,,0.96,0.95,0.11,11.29,4.50,6.79,0.31,0.00,0.17,,
