index,SPACER_cex_depth,SPACER_cluster_out_of_gas,SPACER_conj,SPACER_conj_failed,SPACER_conj_success,SPACER_inductive_level,SPACER_max_depth,SPACER_max_query_lvl,SPACER_non_local_gen,SPACER_num_active_lemmas,SPACER_num_cant_abstract,SPACER_num_ctp_blocked,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_reach_queries,SPACER_pob_out_of_gas,SPACER_queries,SPACER_reuse_reach_facts,SPACER_subsume_failed,SPACER_subsume_pob,SPACER_subsume_success,max_memory,memory,status,time,time_iuc_solver_get_iuc,time_iuc_solver_get_iuc_hyp_reduce1,time_iuc_solver_get_iuc_hyp_reduce2,time_iuc_solver_get_iuc_learn_core,time_pool_solver_proof,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_cluster,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_gen_global,time_spacer_solve_reach_is_reach
array-VexRiscv-regch0-15-p0.smt2,,,,,,,8,8,,59,,8,38,51,,69,63,21,,,67,,,,,89.70,77.01,unknown,31.66,0.23,0.00,0.02,0.00,0.19,29.42,27.54,,0.00,0.06,0.06,1.00,31.57,0.91,30.64,1.39,0.04,23.76,,
array-VexRiscv-regch0-15-p1.smt2,,,,,,,5,5,,55,,4,25,19,,61,58,4,,,61,,,,,104.83,90.65,unknown,20.89,0.20,0.00,0.01,0.00,0.17,18.69,16.94,,,0.07,0.06,1.01,20.80,0.23,20.56,1.48,0.02,14.22,,
array-VexRiscv-regch0-20-p0.smt2,,,,,,,8,8,,36,,9,6,71,1,47,40,20,,,44,,,,,113.11,98.61,unknown,14.77,0.15,0.00,0.01,0.00,0.12,13.43,12.44,,0.00,0.06,0.06,0.32,14.67,2.24,12.41,0.51,0.01,9.26,,
array-arbitrated_fifos_n2d8w8.smt2,,,,,,,3,3,,3,,1,,4,,5,2,,,,3,,,,,9.96,9.96,unknown,0.04,,,,,,0.01,0.00,0.00,,0.01,0.00,0.00,0.03,0.00,0.02,0.00,,0.00,,
array-array_swap.smt2,,,,,,,2,1,,2,,,,2,,3,2,,,,1,,,,,9.09,9.09,unknown,0.02,,,,,,0.00,,0.00,,0.00,,,0.01,0.00,0.00,,,,,
array-dblclockfft_butterfly_ck1-p006.smt2,,,,,,,5,5,,6,,5,11,33,,26,17,10,,,20,,,,,936.18,25.31,unsat,2.18,0.01,,0.00,,0.00,0.48,0.36,,,0.00,,1.00,1.55,0.22,1.33,1.02,0.00,0.05,,
array-dblclockfft_butterfly_ck1-p015.smt2,,,,,,3,9,9,,24,,52,15,144,,74,57,27,,,64,,,,,936.18,103.54,unsat,27.83,0.16,0.00,0.11,0.00,0.03,9.80,4.38,,0.01,0.00,,16.80,27.11,1.52,25.56,16.91,0.03,6.52,,
array-dblclockfft_butterfly_ck1-p023.smt2,,,,,,4,9,9,,28,,55,17,143,3,79,62,29,,,69,,,,,940.09,177.49,unsat,31.40,0.09,0.00,0.04,0.00,0.03,22.24,6.11,,0.01,0.00,,7.99,30.71,1.08,29.60,8.12,0.03,19.06,,
array-dblclockfft_butterfly_ck1-p053.smt2,,,,,,,5,5,,6,,8,7,21,,22,13,4,,,16,,,,,936.18,25.04,unsat,2.22,0.01,,0.00,,0.00,0.43,0.33,,,0.00,,1.06,1.55,0.09,1.45,1.07,0.00,0.11,,
array-dblclockfft_butterfly_ck1-p060.smt2,,,,,,,2,2,,3,,,3,3,,6,3,1,,,3,,,,,936.18,23.28,unsat,0.74,0.00,,,,,0.08,0.03,,,0.01,0.01,,0.09,0.04,0.05,0.00,,,,
array-dblclockfft_butterfly_ck1-p063.smt2,,,,,,,9,8,,129,,51,55,346,2,212,197,93,,,203,,,,,940.08,151.48,unknown,217.52,0.31,0.01,0.12,0.01,0.11,43.10,30.84,,0.07,0.02,0.01,93.08,139.01,11.53,127.46,94.11,0.23,13.73,,
array-dblclockfft_butterfly_ck1-p068.smt2,,,,,,,12,11,,145,,27,58,434,1,203,182,135,,,191,,,,,940.08,150.00,timeout,899.98,0.18,0.00,0.03,0.01,0.10,50.99,44.05,,0.06,0.02,0.02,663.48,717.37,15.53,701.81,664.52,0.20,20.94,,
array-dblclockfft_butterfly_ck1-p072.smt2,,,,,,5,5,5,,12,,9,6,49,,23,14,25,,,17,,,,,938.35,25.14,unsat,1.72,0.01,,0.00,,0.00,0.52,0.36,,,0.00,,0.49,1.08,0.18,0.88,0.51,0.00,0.15,,
array-dblclockfft_butterfly_ck1-p073.smt2,,,,,,,4,4,,2,,5,8,12,2,14,9,2,,,12,,,,,940.08,35.06,unknown,1.90,0.00,,,,0.00,0.56,0.46,,,0.02,0.02,0.58,1.20,0.12,1.07,0.60,,0.14,,
array-dblclockfft_butterfly_ck1-p078.smt2,,,,,,1,10,9,,40,,27,21,123,2,78,61,31,,,68,,,,,940.08,59.18,unknown,42.15,0.04,0.00,0.01,0.00,0.03,6.81,5.71,,0.01,0.01,0.01,18.81,26.17,2.16,23.99,19.01,0.02,2.17,,
array-dblclockfft_butterfly_ck1-p096.smt2,,,,,,6,6,6,,13,,11,6,41,,25,15,11,,,19,,,,,940.09,25.45,unsat,2.73,0.01,,0.00,,0.00,0.54,0.38,,,0.00,,1.45,2.07,0.17,1.88,1.47,0.00,0.14,,
array-dblclockfft_butterfly_ck1-p106.smt2,,,1,1,,,5,5,,2,1,13,27,37,4,37,33,9,1,,35,1,,,,938.35,63.77,unknown,10.74,0.03,,0.00,0.00,0.02,4.90,4.12,,,0.03,0.02,4.85,10.03,0.92,9.09,4.50,0.01,1.61,0.01,0.03
array-dblclockfft_butterfly_ck1-p117.smt2,,,,,,11,12,12,,169,,31,140,215,,268,245,20,,,255,,,,,940.09,145.03,unsat,465.49,0.31,0.01,0.08,0.02,0.15,79.22,66.66,,0.05,0.02,0.02,379.03,461.74,8.77,452.93,380.41,0.28,47.37,,
array-dblclockfft_butterfly_ck1-p139.smt2,,,,,,,4,4,,5,,4,6,14,,16,9,3,,,11,,,,,936.18,24.92,unsat,1.27,0.00,,0.00,,0.00,0.23,0.15,,,0.00,,0.36,0.62,0.04,0.57,0.36,0.00,0.07,,
