index,SPACER_cex_depth,SPACER_inductive_level,SPACER_max_depth,SPACER_max_query_lvl,SPACER_num_active_lemmas,SPACER_num_ctp_blocked,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_reach_queries,SPACER_queries,SPACER_reuse_reach_facts,max_memory,memory,status,time,time_iuc_solver_get_iuc,time_iuc_solver_get_iuc_hyp_reduce1,time_iuc_solver_get_iuc_hyp_reduce2,time_iuc_solver_get_iuc_learn_core,time_pool_solver_proof,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_is_reach
array-VexRiscv-regch0-15-p0.smt2,,,8,8,59,8,38,51,,69,63,21,,67,,87.43,74.73,unknown,31.76,0.23,0.00,0.02,0.00,0.19,29.56,27.66,,0.00,0.07,0.06,1.00,31.67,0.90,30.75,1.40,23.88,
array-VexRiscv-regch0-15-p1.smt2,,,5,5,55,4,25,19,,61,58,4,,61,,102.56,88.37,unknown,20.89,0.20,0.00,0.01,0.00,0.17,18.72,16.98,,,0.07,0.06,1.01,20.80,0.23,20.55,1.47,14.25,
array-VexRiscv-regch0-20-p0.smt2,,,8,8,36,9,6,71,1,47,40,20,,44,,110.83,96.33,unknown,14.22,0.14,0.00,0.01,0.00,0.12,12.94,11.99,,0.00,0.06,0.06,0.32,14.13,2.20,11.91,0.49,8.92,
array-arbitrated_fifos_n2d8w8.smt2,,,3,3,3,1,,4,,5,2,,,3,,7.69,7.69,unknown,0.04,,,,,,0.01,0.00,0.00,,0.01,0.00,0.00,0.03,0.00,0.02,0.00,0.00,
array-array_swap.smt2,,,2,1,2,,,2,,3,2,,,1,,6.81,6.81,unknown,0.01,,,,,,0.00,,0.00,,0.00,,,0.01,0.00,0.00,,,
array-dblclockfft_butterfly_ck1-p006.smt2,,,5,5,6,5,11,33,,26,17,10,,20,,936.18,22.28,unsat,2.15,0.01,,0.00,,0.00,0.48,0.36,,,0.00,,1.01,1.57,0.22,1.34,1.03,0.05,
array-dblclockfft_butterfly_ck1-p015.smt2,,2,11,11,41,48,74,296,24,154,143,71,,150,,1073.90,926.80,unsat,417.25,3.36,0.20,2.43,0.11,0.53,264.33,43.92,,0.07,0.00,,147.53,416.52,10.33,406.16,147.92,244.18,
array-dblclockfft_butterfly_ck1-p023.smt2,,4,9,9,28,55,17,143,3,79,62,29,,69,,940.09,174.75,unsat,31.31,0.09,0.00,0.04,0.00,0.03,22.30,6.14,,0.01,0.00,,7.95,30.68,1.07,29.58,8.08,19.10,
array-dblclockfft_butterfly_ck1-p053.smt2,,,5,5,6,8,7,21,,22,13,4,,16,,936.18,21.98,unsat,2.20,0.01,,0.00,,0.00,0.45,0.34,,,0.00,,1.07,1.58,0.09,1.47,1.09,0.11,
array-dblclockfft_butterfly_ck1-p060.smt2,,,2,2,3,,3,3,,6,3,1,,3,,936.18,19.46,unsat,0.68,0.00,,,,,0.08,0.03,,,0.01,0.01,0.00,0.09,0.04,0.05,0.00,,
array-dblclockfft_butterfly_ck1-p063.smt2,,,10,9,134,96,43,432,2,239,222,72,,229,,1163.89,1038.10,timeout,899.96,0.33,0.01,0.10,0.02,0.13,56.10,46.11,,0.12,0.02,0.01,122.75,182.13,16.19,165.91,124.00,17.00,
array-dblclockfft_butterfly_ck1-p068.smt2,,12,13,13,241,38,141,635,,317,292,132,,303,,940.08,217.09,unsat,866.68,0.39,0.01,0.09,0.02,0.19,123.18,96.44,,0.23,0.02,0.02,737.33,865.65,29.64,835.97,739.18,64.27,
array-dblclockfft_butterfly_ck1-p072.smt2,,5,5,5,12,9,6,49,,23,14,25,,17,,938.35,22.11,unsat,1.70,0.01,,0.00,,0.00,0.53,0.36,,,0.00,,0.51,1.10,0.19,0.90,0.53,0.15,
