index,result,sat_count,uns_count,unk_count,low_bound,high_bound,avg_bound,low_real,high_real,avg_real,low_time,high_timeavg_time,low_mem,high_mem,avg_mem,avg_time,high_time
array-VexRiscv-regch0-15-p0,unsat,0,5,0,-1,-1,-1,9.4,2857.39,586.858,9.3,,82.0,2633.0,1112.0,1779.7459999999999,8570.64
array-VexRiscv-regch0-15-p1,unsat,0,5,0,-1,-1,-1,9.59,3105.02,641.16,9.46,,79.0,4350.0,1388.4,1355.3619999999999,6296.49
array-VexRiscv-regch0-20-p0,unsat,0,4,0,-1,-1,-1,228.44,3600.1,1017.2239999999999,228.36,,209.0,10376.0,3061.4,3822.14,8203.9
array-arbitrated_fifos_n2d8w8,unknown,0,0,2,-1,-1,-1,0.74,3600.1,2874.864,1.46,,82.0,4803.0,1544.2,10024.039999999999,28426.36
array-array_swap,unknown,0,0,2,-1,-1,-1,0.42,3600.1,2875.386,0.09,,31.0,24699.0,9013.2,13639.467999999999,46507.75
array-dblclockfft_butterfly_ck1-p006,unsat,0,5,0,-1,-1,-1,0.24,48.46,10.898,0.19,,28.0,2660.0,883.8,47.422,194.66
array-dblclockfft_butterfly_ck1-p015,unsat,0,5,0,-1,-1,-1,0.56,556.08,115.12,0.49,,41.0,4773.0,1877.8,474.934,2238.69
array-dblclockfft_butterfly_ck1-p023,unsat,0,5,0,-1,-1,-1,0.5,411.35,84.308,0.5,,39.0,3304.0,1246.2,339.17199999999997,1656.1
array-dblclockfft_butterfly_ck1-p053,unsat,0,5,0,-1,-1,-1,0.25,49.18,11.05,0.2,,26.0,2717.0,890.6,47.870000000000005,197.52
array-dblclockfft_butterfly_ck1-p060,unsat,0,5,0,-1,-1,-1,0.12,1.65,0.716,0.0,,0.0,1632.0,424.8,3.7399999999999998,15.35
array-dblclockfft_butterfly_ck1-p063,unsat,0,5,0,-1,-1,-1,4.01,1189.7,260.032,3.89,,92.0,5340.0,2443.2,1052.01,4790.35
array-dblclockfft_butterfly_ck1-p068,unsat,0,5,0,-1,-1,-1,3.93,1446.73,309.358,3.89,,96.0,6380.0,2685.2,1269.62,5825.87
array-dblclockfft_butterfly_ck1-p072,unsat,0,5,0,-1,-1,-1,0.24,48.4,10.99,0.19,,28.0,2649.0,897.8,47.526,194.28
array-dblclockfft_butterfly_ck1-p073,unsat,0,5,0,-1,-1,-1,2.35,1446.59,300.226,2.3,,83.0,6027.0,2642.4,1232.042,5824.0
array-dblclockfft_butterfly_ck1-p078,unsat,0,5,0,-1,-1,-1,0.92,552.1,115.534,0.9,,57.0,5023.0,2002.4,475.40999999999997,2222.54
array-dblclockfft_butterfly_ck1-p096,unsat,0,5,0,-1,-1,-1,0.24,48.38,10.994,0.19,,28.0,2553.0,862.6,47.502,194.27
array-dblclockfft_butterfly_ck1-p106,unsat,0,4,1,-1,-1,-1,13.76,1573.28,431.44,13.69,,97.0,9474.0,3503.0,1847.28,6335.03
array-dblclockfft_butterfly_ck1-p117,unsat,0,5,0,-1,-1,-1,4.59,1457.03,307.198,4.49,,94.0,6268.0,2669.4,1261.09,5866.9
array-dblclockfft_butterfly_ck1-p139,unsat,0,5,0,-1,-1,-1,0.2,24.46,5.966,0.09,,20.0,2485.0,766.2,27.176,98.06
array-dblclockfft_butterfly_ck1-p147,unsat,0,5,0,-1,-1,-1,15.01,2136.31,486.86,14.89,,67.0,8838.0,2868.8,2107.066,8603.16
array-dblclockfft_butterfly_ck1-p156,unsat,0,5,0,-1,-1,-1,0.14,2.89,1.242,0.09,,20.0,1947.0,530.8,5.804,15.5
array-dblclockfft_butterfly_ck1-p167,unsat,0,5,0,-1,-1,-1,1.02,419.62,89.6,1.0,,54.0,3888.0,1709.4,370.09000000000003,1689.45
array-dblclockfft_butterfly_ck1-p168,unsat,0,5,0,-1,-1,-1,0.4,207.46,43.754000000000005,0.3,,32.0,3651.0,1339.6,182.994,835.0
array-dblclockfft_butterfly_ck1-p191,unsat,0,5,0,-1,-1,-1,5.11,2544.74,536.9599999999999,5.0,,102.0,7470.0,3379.0,2148.982,9897.95
