index,SPACER_cex_depth,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_depth,SPACER_max_query_lvl,SPACER_num_active_lemmas,SPACER_num_ctp_blocked,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_queries,SPACER_num_reach_queries,SPACER_num_reuse_reach_facts,max_memory,memory,status,time,time_iuc_solver_get_iuc,time_iuc_solver_get_iuc_hyp_reduce1,time_iuc_solver_get_iuc_hyp_reduce2,time_iuc_solver_get_iuc_learn_core,time_pool_solver_proof,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_is_reach
array-VexRiscv-regch0-15-p0.smt2,,,,15,14,485,120,329,1321,45,545,524,642,534,,,5450.79,1929.01,timeout,899.97,62.05,3.20,36.50,1.22,20.78,802.57,519.00,116.06,0.68,0.12,0.12,11.41,886.43,67.79,818.59,13.68,520.64,
array-VexRiscv-regch0-15-p1.smt2,,,,14,14,697,113,341,1317,55,735,724,644,732,,,395.64,373.72,unknown,633.26,2.33,0.12,1.15,0.12,0.70,617.59,365.60,214.25,0.51,0.13,0.13,4.11,633.11,40.24,592.82,6.57,494.96,
array-VexRiscv-regch0-20-p0.smt2,,,,14,13,698,304,368,2685,86,762,741,1142,750,,,478.02,459.38,timeout,899.98,1.81,0.09,0.74,0.11,0.61,644.88,534.09,67.47,1.47,0.12,0.12,3.50,664.30,119.53,544.72,5.81,442.89,
array-arbitrated_fifos_n2d8w8.smt2,,,,20,19,1206,18,,8091,11,1543,1504,3176,1523,,,439.80,414.96,timeout,899.98,17.47,1.21,10.84,0.63,4.27,776.01,1.08,645.60,,0.01,0.00,4.95,835.02,260.60,574.36,8.00,437.25,
array-array_swap.smt2,,,,67,66,248,65,,11721,,2394,165,3312,2327,,,230.61,219.41,timeout,899.99,14.56,0.80,8.77,0.53,3.17,831.62,6.25,718.55,0.00,0.00,,1.05,884.25,542.49,341.53,3.95,22.24,
array-dblclockfft_butterfly_ck1-p006.smt2,,,,5,4,121,15,53,192,1,131,126,84,127,,,936.20,473.46,timeout,899.96,0.41,0.01,0.06,0.01,0.28,90.02,85.46,,0.01,0.91,0.90,0.84,93.80,8.93,84.87,2.18,51.99,
array-dblclockfft_butterfly_ck1-p015.smt2,,,,4,3,499,1,240,1185,30,517,512,829,513,,,936.20,498.57,timeout,899.96,1.94,0.04,0.48,0.07,1.06,361.54,327.80,,0.16,0.90,0.89,4.14,379.54,46.98,332.54,10.20,234.99,
array-dblclockfft_butterfly_ck1-p023.smt2,,,,6,5,542,151,338,1297,41,553,548,862,549,,,940.11,565.55,timeout,899.96,2.58,0.07,0.64,0.10,1.43,550.00,506.77,,0.30,0.89,0.88,4.93,570.80,43.45,527.34,11.68,388.65,
array-dblclockfft_butterfly_ck1-p053.smt2,,,,4,3,114,37,9,504,,117,114,360,114,,,936.20,480.73,timeout,899.96,0.08,0.00,0.01,0.01,0.03,27.45,24.30,,0.00,0.90,0.89,0.70,30.47,10.46,20.01,1.89,1.21,
array-dblclockfft_butterfly_ck1-p060.smt2,,,10,10,10,119,168,14,717,,122,119,442,119,,,936.20,120.21,unsat,31.22,0.08,0.00,0.01,0.01,0.03,25.54,22.25,,0.01,0.91,0.90,0.69,28.61,10.97,17.61,1.93,1.31,
