index,SPACER_cex_depth,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_depth,SPACER_max_query_lvl,SPACER_num_active_lemmas,SPACER_num_ctp_blocked,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_queries,SPACER_num_reach_queries,SPACER_num_reuse_reach_facts,max_memory,memory,status,time,time_iuc_solver_get_iuc,time_iuc_solver_get_iuc_hyp_reduce1,time_iuc_solver_get_iuc_hyp_reduce2,time_iuc_solver_get_iuc_learn_core,time_pool_solver_proof,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_is_reach
array-VexRiscv-regch0-15-p0.smt2,,,,15,14,464,96,325,1216,48,528,506,689,516,,,563.14,514.63,timeout,899.98,3.14,0.08,0.78,0.10,1.72,838.30,510.51,281.77,0.28,0.06,0.06,7.86,871.28,83.78,787.45,10.75,653.80,
array-VexRiscv-regch0-15-p1.smt2,,,,10,10,126,13,79,196,3,144,136,113,141,,,153.84,146.96,unknown,81.08,0.60,0.01,0.07,0.01,0.43,75.82,70.35,0.20,0.01,0.06,0.06,1.69,80.99,3.91,77.05,2.54,59.24,
array-VexRiscv-regch0-20-p0.smt2,,,,15,14,561,73,384,1406,111,642,621,795,631,,,474.23,456.00,timeout,899.98,3.25,0.07,0.64,0.09,2.11,720.09,515.51,156.05,0.76,0.06,0.06,8.72,754.59,76.39,678.16,12.29,545.91,
array-arbitrated_fifos_n2d8w8.smt2,,,,22,21,986,20,47,8086,9,1416,1374,2462,1394,,,442.47,415.20,timeout,899.96,28.19,2.02,17.59,0.94,7.46,773.72,0.14,667.77,0.00,0.01,0.00,4.87,847.21,289.88,557.26,7.25,424.13,
array-array_swap.smt2,,,,67,66,248,65,,11721,,2394,165,3312,2327,,,230.61,212.08,timeout,899.99,14.64,0.80,8.79,0.53,3.19,835.19,6.35,720.77,0.00,0.00,,1.07,888.55,544.79,343.53,3.97,22.48,
array-dblclockfft_butterfly_ck1-p006.smt2,,,,5,5,6,6,9,29,,24,15,8,18,,,936.20,22.97,unsat,0.95,0.01,,0.00,,0.00,0.27,0.20,,,0.00,,0.01,0.34,0.13,0.19,0.02,0.03,
array-dblclockfft_butterfly_ck1-p015.smt2,,,5,9,9,102,32,21,227,,169,152,55,159,,,936.20,462.54,unsat,92.70,1.82,0.12,1.25,0.06,0.32,88.26,53.70,,0.02,0.00,,0.61,91.89,5.93,85.93,0.85,77.14,
array-dblclockfft_butterfly_ck1-p023.smt2,,,1,8,8,10,32,13,69,,49,34,15,40,,,940.11,32.48,unsat,2.33,0.02,,0.01,,0.01,1.46,1.20,,0.00,0.00,,0.05,1.66,0.27,1.36,0.09,0.63,
array-dblclockfft_butterfly_ck1-p053.smt2,,,3,5,5,13,8,7,37,,29,20,13,23,,,936.20,29.86,unsat,1.50,0.02,,0.01,,0.01,0.76,0.59,,,0.00,,0.02,0.86,0.14,0.72,0.04,0.31,
array-dblclockfft_butterfly_ck1-p060.smt2,,,,2,2,3,,3,3,,6,3,1,3,,,936.20,21.35,unsat,0.76,0.00,,,,,0.08,0.03,,,0.01,0.01,,0.09,0.04,0.05,0.00,,
array-dblclockfft_butterfly_ck1-p063.smt2,,,,11,10,133,45,51,512,15,273,254,131,262,,,1717.28,1029.94,timeout,899.96,0.34,0.01,0.10,0.02,0.13,46.49,41.55,,0.10,0.02,0.01,1.34,50.96,17.81,33.11,2.13,8.23,
array-dblclockfft_butterfly_ck1-p068.smt2,,,12,13,13,249,51,185,792,2,329,304,407,315,,,940.10,239.54,unsat,84.31,0.38,0.01,0.09,0.03,0.18,69.22,51.59,,0.13,0.02,0.02,1.50,74.24,19.23,54.96,2.53,32.71,
array-dblclockfft_butterfly_ck1-p072.smt2,,,5,5,5,12,9,6,49,,23,14,25,17,,,938.37,26.25,unsat,1.07,0.01,,0.00,,0.00,0.37,0.26,,,0.00,,0.01,0.43,0.12,0.30,0.02,0.10,
array-dblclockfft_butterfly_ck1-p073.smt2,,,11,13,13,173,33,120,380,,265,239,64,251,,,940.10,190.38,unsat,61.99,0.27,0.01,0.05,0.02,0.13,56.53,46.40,,0.08,0.02,0.02,1.18,60.49,13.16,47.29,1.94,26.61,
array-dblclockfft_butterfly_ck1-p078.smt2,,,9,10,10,83,26,59,159,,128,108,35,117,,,940.10,113.90,unsat,15.51,0.10,0.00,0.02,0.01,0.05,13.05,8.34,,0.01,0.01,0.01,0.37,14.20,2.41,11.77,0.60,6.96,
array-dblclockfft_butterfly_ck1-p096.smt2,,,6,6,6,14,10,6,42,,26,16,11,20,,,940.11,23.60,unsat,1.11,0.01,,0.00,,0.00,0.39,0.28,,,0.00,,0.01,0.47,0.14,0.32,0.03,0.10,
array-dblclockfft_butterfly_ck1-p106.smt2,,,,15,14,124,115,82,597,,237,210,296,222,,,938.37,460.62,timeout,899.95,2.74,0.14,2.00,0.09,0.40,77.33,62.97,,0.11,0.02,0.02,1.30,83.85,15.64,68.17,2.09,45.32,
array-dblclockfft_butterfly_ck1-p117.smt2,,,11,12,12,161,56,123,275,2,258,235,48,245,,,940.11,174.04,unsat,44.60,0.25,0.01,0.05,0.01,0.13,34.54,28.77,,0.04,0.02,0.02,1.11,37.80,7.86,29.90,1.82,14.82,
array-dblclockfft_butterfly_ck1-p139.smt2,,,,4,4,5,4,6,14,,16,9,3,11,,,936.20,22.93,unsat,0.88,0.00,,0.00,,0.00,0.21,0.15,,,0.00,,0.00,0.25,0.04,0.20,0.01,0.06,
array-dblclockfft_butterfly_ck1-p147.smt2,,,,14,13,214,337,29,1443,,306,281,518,292,,,936.21,661.86,timeout,899.97,7.16,0.46,5.06,0.24,1.17,354.37,269.95,,0.52,0.00,,1.72,368.35,65.78,302.53,2.44,267.09,
array-dblclockfft_butterfly_ck1-p156.smt2,,,,3,3,4,1,5,8,,11,6,2,7,,,936.20,20.02,unsat,0.74,0.00,,,,0.00,0.09,0.06,,,0.00,,0.00,0.11,0.04,0.07,0.01,0.01,
array-dblclockfft_butterfly_ck1-p167.smt2,,,,8,8,52,49,67,194,,164,149,65,155,,,936.20,118.48,unsat,18.25,1.35,0.07,1.03,0.04,0.17,13.79,9.90,,0.01,0.01,0.01,0.72,16.75,2.52,14.20,1.06,4.54,
array-dblclockfft_butterfly_ck1-p168.smt2,,,1,7,7,9,21,11,44,,40,27,8,32,,,936.20,26.60,unsat,1.24,0.01,,0.00,,0.01,0.44,0.30,,,0.00,,0.03,0.56,0.12,0.42,0.05,0.05,
array-dblclockfft_butterfly_ck1-p191.smt2,,,,12,11,81,71,50,409,2,146,127,174,135,,,2323.38,2323.01,timeout,899.95,0.15,0.00,0.04,0.01,0.07,17.63,14.96,,0.04,0.02,0.01,0.51,19.38,6.17,13.18,0.86,5.98,
array-dblclockfft_butterfly_ck1-p199.smt2,,,1,4,4,6,4,7,17,,18,11,5,13,,,936.20,22.65,unsat,0.87,0.00,,0.00,,0.00,0.20,0.14,,,0.00,,0.01,0.25,0.08,0.16,0.01,0.03,
array-dblclockfft_butterfly_ck1-p200.smt2,,,7,8,8,55,21,41,92,,83,66,18,74,,,940.10,96.72,unsat,10.44,0.06,0.00,0.01,0.00,0.03,6.75,4.38,,0.01,0.01,0.01,0.20,7.37,1.19,6.16,0.33,3.39,
array-dblclockfft_butterfly_ck1-p212.smt2,,,6,7,7,49,13,37,77,,71,58,22,63,,,938.37,56.28,unsat,5.52,0.04,0.00,0.01,0.00,0.02,4.13,3.15,,0.00,0.01,0.01,0.14,4.59,0.70,3.88,0.24,2.08,
array-dblclockfft_butterfly_ck1-p214.smt2,,,4,6,6,20,10,10,37,,33,22,2,26,,,938.37,35.63,unsat,2.31,0.06,0.00,0.03,0.00,0.01,1.38,1.04,,0.00,0.01,0.01,0.04,1.58,0.41,1.15,0.07,0.58,
array-dblclockfft_butterfly_ck1-p222.smt2,,,14,14,14,157,101,164,1630,,305,278,1397,290,,,4237.23,2536.51,unsat,637.14,197.23,4.05,124.83,1.44,67.15,324.30,122.01,,0.08,0.00,,4.84,529.98,101.42,428.52,5.58,130.17,
array-dblclockfft_butterfly_ck1-p223.smt2,,,3,4,4,12,5,6,14,,18,11,,13,,,938.37,28.92,unsat,1.29,0.01,,0.00,,0.00,0.57,0.37,,,0.01,0.01,0.01,0.63,0.11,0.50,0.02,0.31,
array-dblclockfft_butterfly_ck1-p255.smt2,,,,16,15,304,30,243,417,2,377,354,167,364,,,1064.87,1003.79,timeout,899.95,1.43,0.04,0.56,0.06,0.42,274.90,234.85,,0.16,0.03,0.03,3.19,286.51,25.50,260.97,5.06,199.71,
