index,SPACER_cex_depth,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_depth,SPACER_max_query_lvl,SPACER_num_active_lemmas,SPACER_num_ctp_blocked,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_queries,SPACER_num_reach_queries,SPACER_num_reuse_reach_facts,max_memory,memory,status,time,time_iuc_solver_get_iuc,time_iuc_solver_get_iuc_hyp_reduce1,time_iuc_solver_get_iuc_hyp_reduce2,time_iuc_solver_get_iuc_learn_core,time_pool_solver_proof,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_is_reach
array-VexRiscv-regch0-15-p0.smt2,,,,15,14,464,96,325,1216,48,528,506,689,516,,,563.14,517.59,timeout,899.98,3.06,0.07,0.76,0.10,1.67,813.41,495.93,273.83,0.28,0.06,0.06,7.57,845.13,81.14,763.95,10.39,635.11,
array-VexRiscv-regch0-15-p1.smt2,,,,10,10,126,13,79,196,3,144,136,113,141,,,153.84,146.96,timeout,76.60,0.58,0.01,0.07,0.01,0.41,71.69,66.66,0.19,0.01,0.06,0.06,1.60,76.51,3.72,72.75,2.41,56.13,
array-VexRiscv-regch0-20-p0.smt2,,,,15,14,561,73,384,1406,111,642,621,795,631,,,488.37,469.62,timeout,899.98,3.10,0.07,0.61,0.09,2.02,655.91,468.97,143.59,0.72,0.05,0.05,8.09,687.36,70.12,617.19,11.49,498.30,
array-arbitrated_fifos_n2d8w8.smt2,,,,23,22,1085,21,47,9416,9,1557,1513,2872,1534,,,474.81,447.87,timeout,899.98,26.79,1.92,16.41,0.95,7.45,722.89,0.13,635.96,0.00,0.01,0.00,5.94,799.88,286.36,513.44,8.59,389.77,
array-array_swap.smt2,,,,71,70,274,69,,13215,,2690,183,3749,2619,,,245.83,227.77,timeout,899.98,16.44,0.94,9.86,0.65,3.60,815.63,5.56,718.82,0.00,0.00,,1.16,867.89,526.85,340.80,4.45,23.21,
array-dblclockfft_butterfly_ck1-p006.smt2,,,,5,5,6,6,9,29,,24,15,8,18,,,936.20,22.97,timeout,0.93,0.01,,0.00,,0.00,0.27,0.20,,,0.00,,0.01,0.33,0.13,0.19,0.02,0.03,
array-dblclockfft_butterfly_ck1-p015.smt2,,,5,9,9,102,32,21,227,,169,152,55,159,,,936.20,462.54,timeout,82.06,1.69,0.11,1.15,0.05,0.30,77.94,47.66,,0.02,0.00,,0.58,81.27,5.18,76.07,0.81,68.31,
array-dblclockfft_butterfly_ck1-p023.smt2,,,1,8,8,10,32,13,69,,49,34,15,40,,,940.11,32.48,timeout,2.03,0.02,,0.00,,0.01,1.19,0.98,,0.00,0.00,,0.04,1.35,0.22,1.11,0.08,0.50,
array-dblclockfft_butterfly_ck1-p053.smt2,,,3,5,5,13,8,7,37,,29,20,13,23,,,936.20,29.86,timeout,1.43,0.01,,0.01,,0.01,0.69,0.55,,,0.00,,0.02,0.79,0.12,0.65,0.04,0.29,
array-dblclockfft_butterfly_ck1-p060.smt2,,,,2,2,3,,3,3,,6,3,1,3,,,936.20,21.35,timeout,0.74,0.00,,,,,0.07,0.03,,,0.01,0.00,,0.09,0.04,0.05,0.00,,
array-dblclockfft_butterfly_ck1-p063.smt2,,,,11,10,133,45,51,512,15,273,254,131,262,,,1717.28,1003.19,timeout,899.96,0.32,0.01,0.10,0.02,0.12,39.87,35.73,,0.09,0.02,0.01,1.27,43.98,15.71,28.24,2.01,6.93,
array-dblclockfft_butterfly_ck1-p068.smt2,,,12,13,13,249,51,185,792,2,329,304,407,315,,,940.10,239.54,timeout,80.25,0.36,0.01,0.09,0.02,0.17,65.44,48.94,,0.12,0.02,0.02,1.48,70.30,18.17,52.09,2.52,31.07,
array-dblclockfft_butterfly_ck1-p072.smt2,,,5,5,5,12,9,6,49,,23,14,25,17,,,938.37,26.25,timeout,1.08,0.01,,0.00,,0.00,0.37,0.26,,,0.00,,0.01,0.44,0.13,0.30,0.02,0.10,
array-dblclockfft_butterfly_ck1-p073.smt2,,,11,13,13,173,33,120,380,,265,239,64,251,,,940.10,190.38,timeout,53.26,0.25,0.01,0.05,0.02,0.13,48.10,39.34,,0.08,0.02,0.02,1.15,51.78,11.30,40.44,1.88,22.64,
array-dblclockfft_butterfly_ck1-p078.smt2,,,9,10,10,83,26,59,159,,128,108,35,117,,,940.10,113.90,timeout,12.82,0.09,0.00,0.02,0.01,0.04,10.55,6.52,,0.01,0.01,0.01,0.35,11.55,1.89,9.64,0.57,5.73,
array-dblclockfft_butterfly_ck1-p096.smt2,,,6,6,6,14,10,6,42,,26,16,11,20,,,940.11,23.60,timeout,1.05,0.01,,0.00,,0.00,0.34,0.25,,,0.00,,0.01,0.41,0.12,0.28,0.03,0.09,
